window_end_time,Axis1_Smooth,Axis2_Smooth,Axis3_Smooth,Axis4_Smooth,Axis5_Smooth,Axis6_Smooth,Axis7_Smooth,Axis8_Smooth
3989.678,1.273756,5.609910999999999,3.9630998,1.2440128,1.8634388,1.1418080000000002,1.6169258,0.215428
4014.496,1.273756,5.6447024,3.9630998,1.2440128,1.9078306,1.2610472,1.688948,0.215428
4048.453,1.4259394,6.70427,4.2488136,1.208396,1.7839452,1.2362704,1.9810914,0.1962004
4079.305,1.8856174,7.9557194,4.564048400000001,1.3792546,1.9775156,1.438616,2.0941332,0.2087572
4109.585,1.7386452,7.9894568,4.497628000000001,1.1603906,2.1086274,1.1593582,2.0612224,0.21739
4139.873,1.4483499999999998,7.484449,3.9198738,0.958045,1.7818806,0.9740468,1.7266286,0.2087572
4168.179,0.8677592,4.6958352,2.219294,0.6834328,1.0556044,0.757764,1.0960754,0.108695
4199.937,0.192314,2.1402212,0.98893,0.2250576,0.5053481999999999,0.2338331999999999,0.5387367999999999,0.0941762
4229.578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4259.509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4289.249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4319.384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4349.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4379.968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4409.515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4439.497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4467.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4498.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4528.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4558.921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4588.946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4618.603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4648.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4679.187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4709.271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4739.893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4769.891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4798.573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4828.749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4854.922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4889.327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4919.329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4948.249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4978.248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5008.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5039.108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5069.449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5099.423,0.1662554,0.7907224,0.8571428,0.2054428,0.2859681999999999,0.1424678,0.1972266,0.0066708
5128.227,0.63792,3.6605168,2.9182916,0.3783658,1.0829624,1.0525074,0.6579788,0.080442
5158.27,0.63792,3.6605168,2.9182916,0.3783658,1.0829624,1.0525074,0.6579788,0.080442
5188.779,0.63792,3.6605168,2.9182916,0.3783658,1.0829624,1.0525074,0.6579788,0.080442
5218.988,0.8052177999999999,4.266737,3.509752,0.6116828,1.3167954,1.085027,0.9491686,0.1416564
5249.764,0.7974003999999999,3.1903004000000004,3.1903004,0.657107,1.090705,0.7267928,0.9904262,0.1126188
5278.394,1.1888044,5.0195046,5.3895622,0.9554638,1.6719327999999998,1.698775,1.3047487999999998,0.1522512
5306.961,1.1908892,5.0658936,5.6004214,0.9570122,1.7287134,1.7648469999999998,1.4750266,0.1526436
5338.797,1.1418984,4.626252,5.6584076,0.9523664,1.6796758,1.7209709999999998,1.2115014,0.1997318
